price,mu,lambda,volume,gamma
21.78,0.01,0.000,1650,0.000
21.77,0.11,0.003,1433,0.003
21.76,0.12,0.003,981,0.003
21.75,0.34,0.009,1513,0.009
21.74,0.41,0.011,1309,0.011
21.73,0.63,0.017,1341,0.017
21.72,1.08,0.029,967,0.029
21.71,0.81,0.022,1118,0.022
21.70,2.79,0.074,1184,0.074
21.69,0.39,0.010,1226,0.010
21.68,0.55,0.015,1407,0.015
21.67,1.16,0.031,1627,0.031
21.66,1.49,0.040,1291,0.040
21.65,1.90,0.051,1554,0.051
21.64,1.91,0.051,1388,0.051
21.63,2.32,0.062,1347,0.062
21.62,4.76,0.127,1016,0.127
21.61,2.40,0.064,3098,0.064
21.60,3.26,0.087,2548,0.087
21.59,2.45,0.065,1207,0.065
21.58,2.28,0.061,988,0.061
21.57,2.25,0.060,1123,0.060
21.56,1.73,0.046,3933,0.046
21.55,1.71,0.046,1204,0.046
21.54,3.58,0.095,959,0.095
21.53,1.53,0.041,1072,0.041
21.52,1.84,0.049,967,0.049
21.51,1.80,0.048,883,0.048
21.50,4.11,0.110,1354,0.110
21.49,4.67,0.125,628,0.125
21.48,3.85,0.103,1480,0.103
21.47,4.11,0.110,838,0.110
21.46,3.80,0.101,1338,0.101
21.45,4.39,0.117,1142,0.117
21.44,3.33,0.089,542,0.089
21.43,2.25,0.060,4275,0.060
21.42,1.04,0.028,894,0.028
21.41,1.44,0.038,612,0.038
21.40,1.74,0.046,995,0.046
21.39,2.33,0.062,1267,0.062
21.38,1.29,0.034,1020,0.034
21.37,2.48,0.066,1111,0.066
21.36,2.57,0.069,1059,0.069
21.35,4.19,0.112,1617,0.112
21.34,5.00,0.133,2182,0.133
21.33,5.56,0.148,1027,0.148
21.32,5.76,0.154,898,0.154
21.31,4.97,0.133,1019,0.133
21.30,6.01,0.160,1124,0.160
21.29,2.85,0.076,1131,0.076
21.28,3.20,0.085,1102,0.085
21.27,3.39,0.090,994,0.090
21.26,2.96,0.079,1749,0.079
21.25,3.60,0.096,1360,0.096
21.24,3.16,0.084,963,0.084
21.23,3.74,0.100,1073,0.100
21.22,3.06,0.082,1012,0.082
21.21,2.39,0.064,856,0.064
21.20,3.65,0.097,1537,0.097
21.19,3.21,0.086,937,0.086
21.18,2.73,0.073,875,0.073
21.17,2.03,0.054,941,0.054
21.16,2.18,0.058,920,0.058
21.15,1.95,0.052,1058,0.052
21.14,1.73,0.046,3457,0.046
21.13,1.45,0.039,1269,0.039
21.12,1.15,0.031,1095,0.031
21.11,0.64,0.017,957,0.017
21.10,1.34,0.036,1643,0.036
21.09,0.59,0.016,1449,0.016
21.08,0.44,0.012,1176,0.012
21.07,0.46,0.012,2090,0.012
21.06,0.16,0.004,1344,0.004
21.05,0.18,0.005,1122,0.005
21.04,0.05,0.001,1187,0.001
